Source_File,Source_Sheet,Source_Row,Recon_Code,ZONE,Source_State,Source_Location,Source_Product,Source_SubProduct,Source_Business_Type,Source_SubLine,Insurer_Name,Source_Rate_Field,Rate_Type,Rate_Value,Effective_From,Product_Code,SubProduct_Code,BusinessType_Code,UI_Business_Type,Rule_Business_Variant,SubLine_Code,State_Code,Location_Code
July-26.xlsx,Sheet1,34,AP1PC162P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,PCV,PCV 3W-EV,RO/RN,PKG,CHOLA,INFLOW,INFLOW,17.50%{NT(W/O CPA -2% Less),01-07-2026,PROD_PCV,SP_PCV_3W_EV,BT_RO_RN,Renewal / Rollover,RO/RN,SL_PKG,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,35,AP1PC162T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,PCV,PCV 3W-EV,RO/RN,TP,CHOLA,INFLOW,INFLOW,12.50%{NT(W/O CPA -2% Less),01-07-2026,PROD_PCV,SP_PCV_3W_EV,BT_RO_RN,Renewal / Rollover,RO/RN,SL_TP,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,36,AP1GC232P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,GCV 3W-EV,RO/RN,PKG,CHOLA,INFLOW,INFLOW,37.00%{NT(W/O CPA -2% Less),01-07-2026,PROD_GCV,SP_GCV_GCV_3W_EV,BT_RO_RN,Renewal / Rollover,RO/RN,SL_PKG,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,37,AP1GC232T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,GCV 3W-EV,RO/RN,TP,CHOLA,INFLOW,INFLOW,32.00%{NT(W/O CPA -2% Less),01-07-2026,PROD_GCV,SP_GCV_GCV_3W_EV,BT_RO_RN,Renewal / Rollover,RO/RN,SL_TP,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,38,AP2GC282P,SOUTH,ANDHARA PRADESH,VIZAG,GCV,4W - 12000 TO 20000 GVW,RO/RN,PKG,CHOLA,INFLOW,INFLOW,"22.00%{NT(W/O CPA -2% Less - Upto 16K Ton),17.00%{NT(W/O CPA -2% Less - Aove 16K Ton)",01-07-2026,PROD_GCV,SP_GCV_4W_12000_TO_20000_GVW,BT_RO_RN,Renewal / Rollover,RO/RN,SL_PKG,ST_AP,LOC_AP_VIZAG
July-26.xlsx,Sheet1,39,AP2GC292P,SOUTH,ANDHARA PRADESH,VIZAG,GCV,4W - 20000 TO 40000 GVW,RO/RN,PKG,CHOLA,INFLOW,INFLOW,29.50%{NT(W/O CPA -2% Less),01-07-2026,PROD_GCV,SP_GCV_4W_20000_TO_40000_GVW,BT_RO_RN,Renewal / Rollover,RO/RN,SL_PKG,ST_AP,LOC_AP_VIZAG
July-26.xlsx,Sheet1,40,AP2GC292T,SOUTH,ANDHARA PRADESH,VIZAG,GCV,4W - 20000 TO 40000 GVW,RO/RN,TP,CHOLA,INFLOW,INFLOW,19.50%{NT(W/O CPA -2% Less),01-07-2026,PROD_GCV,SP_GCV_4W_20000_TO_40000_GVW,BT_RO_RN,Renewal / Rollover,RO/RN,SL_TP,ST_AP,LOC_AP_VIZAG
July-26.xlsx,Sheet1,41,AP2GC262P,SOUTH,ANDHARA PRADESH,VIZAG,GCV,4W - 3500 TO 7500 GVW,RO/RN,PKG,CHOLA,INFLOW,INFLOW,14.50%{NT(W/O CPA -2% Less),01-07-2026,PROD_GCV,SP_GCV_4W_3500_TO_7500_GVW,BT_RO_RN,Renewal / Rollover,RO/RN,SL_PKG,ST_AP,LOC_AP_VIZAG
July-26.xlsx,Sheet1,42,AP2GC262T,SOUTH,ANDHARA PRADESH,VIZAG,GCV,4W - 3500 TO 7500 GVW,RO/RN,TP,CHOLA,INFLOW,INFLOW,9.50%{NT(W/O CPA -2% Less),01-07-2026,PROD_GCV,SP_GCV_4W_3500_TO_7500_GVW,BT_RO_RN,Renewal / Rollover,RO/RN,SL_TP,ST_AP,LOC_AP_VIZAG
July-26.xlsx,Sheet1,43,AP2GC272P,SOUTH,ANDHARA PRADESH,VIZAG,GCV,4W - 7500 TO 12000 GVW,RO/RN,PKG,CHOLA,INFLOW,INFLOW,22.00%{NT(W/O CPA -2% Less),01-07-2026,PROD_GCV,SP_GCV_4W_7500_TO_12000_GVW,BT_RO_RN,Renewal / Rollover,RO/RN,SL_PKG,ST_AP,LOC_AP_VIZAG
July-26.xlsx,Sheet1,44,AP2GC272T,SOUTH,ANDHARA PRADESH,VIZAG,GCV,4W - 7500 TO 12000 GVW,RO/RN,TP,CHOLA,INFLOW,INFLOW,9.50%{NT(W/O CPA -2% Less),01-07-2026,PROD_GCV,SP_GCV_4W_7500_TO_12000_GVW,BT_RO_RN,Renewal / Rollover,RO/RN,SL_TP,ST_AP,LOC_AP_VIZAG
July-26.xlsx,Sheet1,45,AP2GC302P,SOUTH,ANDHARA PRADESH,VIZAG,GCV,4W - ABOVE 40000 GVW,RO/RN,PKG,CHOLA,INFLOW,INFLOW,"24.50%{NT(W/O CPA -2% Less - Above 43K to 47.5K Ton),22.00%{NT(W/O CPA -2% Less - Upto 43K Ton),19.50%{NT(W/O CPA -2% Less - Above 47.5K to 56K Ton)",01-07-2026,PROD_GCV,SP_GCV_4W_ABOVE_40000_GVW,BT_RO_RN,Renewal / Rollover,RO/RN,SL_PKG,ST_AP,LOC_AP_VIZAG
July-26.xlsx,Sheet1,46,AP2GC302T,SOUTH,ANDHARA PRADESH,VIZAG,GCV,4W - ABOVE 40000 GVW,RO/RN,TP,CHOLA,INFLOW,INFLOW,"24.50%{NT(W/O CPA -2% Less - Upto 43K Ton),19.50%{NT(W/O CPA -2% Less - Above 43K to 47.5K Ton),14.50%{NT(W/O CPA -2% Less - Above 47.5K to 56K Ton)",01-07-2026,PROD_GCV,SP_GCV_4W_ABOVE_40000_GVW,BT_RO_RN,Renewal / Rollover,RO/RN,SL_TP,ST_AP,LOC_AP_VIZAG
July-26.xlsx,Sheet1,47,AP2GC222P,SOUTH,ANDHARA PRADESH,VIZAG,GCV,GCV 3W,RO/RN,PKG,CHOLA,INFLOW,INFLOW,37.00%{NT(W/O CPA -2% Less),01-07-2026,PROD_GCV,SP_GCV_GCV_3W,BT_RO_RN,Renewal / Rollover,RO/RN,SL_PKG,ST_AP,LOC_AP_VIZAG
July-26.xlsx,Sheet1,48,AP2GC222T,SOUTH,ANDHARA PRADESH,VIZAG,GCV,GCV 3W,RO/RN,TP,CHOLA,INFLOW,INFLOW,32.00%{NT(W/O CPA -2% Less),01-07-2026,PROD_GCV,SP_GCV_GCV_3W,BT_RO_RN,Renewal / Rollover,RO/RN,SL_TP,ST_AP,LOC_AP_VIZAG
July-26.xlsx,Sheet1,49,AP2MI332P,SOUTH,ANDHARA PRADESH,VIZAG,MISC-D,MISC D,RO/RN,PKG,CHOLA,INFLOW,INFLOW,"35.00%{NT(W/O CPA -2% Less - HARVESTOR),30.00%{NT(W/O CPA -2% Less - Loader, Excavators/Earth Movers, Crane, Bulldozers/Bullgraders, Road Rollers, Fork Lift Trucks)",01-07-2026,PROD_MISC,SP_MISC_ALL,BT_RO_RN,Renewal / Rollover,RO/RN,SL_PKG,ST_AP,LOC_AP_VIZAG
July-26.xlsx,Sheet1,50,AP2MI332T,SOUTH,ANDHARA PRADESH,VIZAG,MISC-D,MISC D,RO/RN,TP,CHOLA,INFLOW,INFLOW,"30.00%{NT(W/O CPA -2% Less - Loader, Excavators/Earth Movers, Crane, Bulldozers/Bullgraders, Road Rollers, Fork Lift Trucks)",01-07-2026,PROD_MISC,SP_MISC_ALL,BT_RO_RN,Renewal / Rollover,RO/RN,SL_TP,ST_AP,LOC_AP_VIZAG
July-26.xlsx,Sheet1,51,AP2PC152P,SOUTH,ANDHARA PRADESH,VIZAG,PCV,PCV 3W,RO/RN,PKG,CHOLA,INFLOW,INFLOW,17.50%{NT(W/O CPA -2% Less),01-07-2026,PROD_PCV,SP_PCV_3W,BT_RO_RN,Renewal / Rollover,RO/RN,SL_PKG,ST_AP,LOC_AP_VIZAG
July-26.xlsx,Sheet1,52,AP2PC152T,SOUTH,ANDHARA PRADESH,VIZAG,PCV,PCV 3W,RO/RN,TP,CHOLA,INFLOW,INFLOW,12.50%{NT(W/O CPA -2% Less),01-07-2026,PROD_PCV,SP_PCV_3W,BT_RO_RN,Renewal / Rollover,RO/RN,SL_TP,ST_AP,LOC_AP_VIZAG
July-26.xlsx,Sheet1,53,AP2PR142S,SOUTH,ANDHARA PRADESH,VIZAG,PRIVATE CAR,PRIVATE CAR,RO/RN,SAOD,CHOLA,INFLOW,INFLOW,20.00%{OD(Above 1500CC - petrol),01-07-2026,PROD_PC,SP_PC_CAR,BT_RO_RN,Renewal / Rollover,RO/RN,SL_SAOD,ST_AP,LOC_AP_VIZAG
