Rule_ID,Recon_Code,ZONE,STATE,LOCATION,PRODUCT,SUB_PRODUCT,BUSINESS_TYPE,SUB_LINE,INSURER_NAME,INFLOW
RAW_000052,AP2PR142S,SOUTH,ANDHARA PRADESH,VIZAG,PRIVATE CAR,PRIVATE CAR,RO/RN,SAOD,CHOLA,20.00%{OD(Above 1500CC - petrol)
RAW_000053,AP2PR142T,SOUTH,ANDHARA PRADESH,VIZAG,PRIVATE CAR,PRIVATE CAR,RO/RN,TP,CHOLA,"20.00%{NT(W/O CPA -2% Less - Above 1000CC to 1500CC),20.00%{NT(W/O CPA -2% Less - Above 1500CC)"
RAW_000054,AP2PC182P,SOUTH,ANDHARA PRADESH,VIZAG,PCV,PCV BUS - STUDENTS,RO/RN,PKG,CHOLA,50.00%{NT(W/O CPA -2% Less)
RAW_000055,AP2PC182T,SOUTH,ANDHARA PRADESH,VIZAG,PCV,PCV BUS - STUDENTS,RO/RN,TP,CHOLA,50.00%{NT(W/O CPA -2% Less)
RAW_000056,AP2PC172P,SOUTH,ANDHARA PRADESH,VIZAG,PCV,PCV BUS - STAFF,RO/RN,PKG,CHOLA,42.00%{NT(W/O CPA -2% Less)
RAW_000057,AP2PC172T,SOUTH,ANDHARA PRADESH,VIZAG,PCV,PCV BUS - STAFF,RO/RN,TP,CHOLA,42.00%{NT(W/O CPA -2% Less)
RAW_000058,AP2GC242T,SOUTH,ANDHARA PRADESH,VIZAG,GCV,4W - UPTO 2500 GVW,RO/RN,TP,CHOLA,"42.00%{NT(W/O CPA -2% Less - TATA/Maruti/MahindraAce, Super Ace, Yodha, Xenon, Magic, Intra, Super Carry, Mahindra Jeeto,Tractor ,Supro),19.50%{NT(W/O CPA -2% Less)"
RAW_000059,AP2GC242P,SOUTH,ANDHARA PRADESH,VIZAG,GCV,4W - UPTO 2500 GVW,RO/RN,PKG,CHOLA,"47.00%{NT(W/O CPA -2% Less - TATA/Maruti/MahindraAce, Super Ace, Yodha, Xenon, Magic, Intra, Super Carry, Mahindra Jeeto,Tractor ,Supro),29.50%{NT(W/O CPA -2% Less)"
RAW_000060,AP2GC252P,SOUTH,ANDHARA PRADESH,VIZAG,GCV,4W - 2500 TO 3500 GVW,RO/RN,PKG,CHOLA,"47.00%{NT(W/O CPA -2% Less - TATA/Maruti/MahindraAce, Super Ace, Yodha, Xenon, Magic, Intra, Super Carry, Mahindra Jeeto,Tractor ,Supro),29.50%{NT(W/O CPA -2% Less)"
RAW_000061,AP2GC252T,SOUTH,ANDHARA PRADESH,VIZAG,GCV,4W - 2500 TO 3500 GVW,RO/RN,TP,CHOLA,"42.00%{NT(W/O CPA -2% Less - TATA/Maruti/MahindraAce, Super Ace, Yodha, Xenon, Magic, Intra, Super Carry, Mahindra Jeeto,Tractor ,Supro),19.50%{NT(W/O CPA -2% Less)"
RAW_000062,AP22W121P,SOUTH,ANDHARA PRADESH,VIZAG,2W,SCOOTER,NEW(1+5),PKG,CHOLA,"40.00%{NT(W/O CPA -2% Less - SUZUKI),39.50%{NT(W/O CPA -2% Less - Others),38.50%{NT(W/O CPA -2% Less - Hero),37.00%{NT(W/O CPA -2% Less - TVS),36.00%{NT(W/O CPA -2% Less - Yamaha),34.50%{NT(W/O CPA -2% Less - Honda),30.50%{NT(W/O CPA -2% Less - Bajaj)"
RAW_000063,AP22W122P,SOUTH,ANDHARA PRADESH,VIZAG,2W,SCOOTER,RO/RN,PKG,CHOLA,"40.00%{NT(W/O CPA -2% Less - Hero),40.00%{NT(W/O CPA -2% Less - TVS),40.00%{NT(W/O CPA -2% Less - SUZUKI),40.00%{NT(W/O CPA -2% Less - Yamaha),37.50%{NT(W/O CPA -2% Less - Honda),37.50%{NT(W/O CPA -2% Less - Bajaj),37.50%{NT(W/O CPA -2% Less - Others)"
RAW_000064,AP22W122T,SOUTH,ANDHARA PRADESH,VIZAG,2W,SCOOTER,RO/RN,TP,CHOLA,"30.00%{NT(W/O CPA -2% Less - Hero),30.00%{NT(W/O CPA -2% Less - TVS),30.00%{NT(W/O CPA -2% Less - SUZUKI),30.00%{NT(W/O CPA -2% Less - Yamaha),27.50%{NT(W/O CPA -2% Less - Honda),27.50%{NT(W/O CPA -2% Less - Bajaj),27.50%{NT(W/O CPA -2% Less - Others)"
